Modelo-Tipo;Período comercial;cilindrada;cilindros;combustible;potencia Kwh;CVF;potencia CV;precio medio 2020
A4 AVANT 2.0 TFSI Quattro 220CV;2004-2008;1984;4;G;162;13,26;220;29700
A4 AVANT 2.0 TFSI Quattro Tiptronic;2004-2008;1984;4;G;147;13,26;200;29600
A4 AVANT 2.0 TFSI;2008-2011;1984;4;G;132;13,26;180;27100
A4 AVANT 2.0 TFSI Flexible fuel;2008-2011;1984;4;M;132;13,26;180;27400
A4 AVANT 2.0 TFSI Flexible fuel Quattro;2008-2011;1984;4;M;132;13,26;180;31000
A4 AVANT 2.0 TFSI Multitronic;2008-2011;1984;4;G;132;13,26;180;28700
A4 AVANT 2.0 TFSI 211 (2008);2008-2011;1984;4;G;155;13,26;211;28700
A4 AVANT 2.0 TFSI Quattro 211 (2008);2008-2011;1984;4;G;155;13,26;211;30700
A4 AVANT 2.0 TFSI 211 Multitronic;2008-2011;1984;4;G;155;13,26;211;30600
A4 AVANT 2.0 TFSI 211 Quattro S-T;2008-2011;1984;4;G;155;13,26;211;32600
A4 AVANT 2.0 TFSI Flexible fuel;2012-2015;1984;4;M;132;13,26;180;29000
A4 AVANT 2.0 TFSI Flexible fuel S line edition 180;2012-2015;1984;4;M;132;13,26;180;29600
A4 AVANT 2.0 TFSI Flexible fuel Quattro;2012-2015;1984;4;M;132;13,26;180;32200
A4 AVANT 2.0 TFSI Flexible fuel S line edition Quattro 180;2012-2015;1984;4;M;132;13,26;180;32800
A4 AVANT 2.0 TFSI Quattro 211;2012-2015;1984;4;G;155;13,26;211;32800
A4 AVANT 2.0 TFSI Quattro S-T 211;2012-2015;1984;4;G;155;13,26;211;34500
A4 AVANT 2.0 TFSI 225;2012-2015;1984;4;G;166;13,26;225;29500
A4 AVANT 2.0 TFSI Multitronic 225;2012-2015;1984;4;G;166;13,26;225;31100
A4 AVANT 2.0 TFSI Multitronic S line edition 225;2012-2015;1984;4;G;166;13,26;225;32800
A4 AVANT 2.0 TFSI Quattro 225;2012-2015;1984;4;G;166;13,26;225;31400
A4 AVANT 2.0 TFSI Quattro 225 (9.75);2012-2015;1984;4;G;166;13,26;225;36500
A4 AVANT 2.0 TFSI Quattro S-Tronic 225;2012-2015;1984;4;G;166;13,26;225;33100
A4 AVANT 2.0 TFSI Quattro S-Tronic 225 (9.75);2012-2015;1984;4;G;166;13,26;225;38200
A4 AVANT 2.0 TFSI S line edition 225;2012-2015;1984;4;G;166;13,26;225;31200
A4 AVANT 2.0 TFSI S line edition Quattro 225;2012-2015;1984;4;G;166;13,26;225;33200
A4 AVANT 2.0 TFSI S line edition Quattro 225 (9.75);2012-2015;1984;4;G;166;13,26;225;35200
A4 AVANT 2.0 TFSI S line edition Quattro S-Tronic 225;2012-2015;1984;4;G;166;13,26;225;34800
A4 AVANT 2.0 TFSI S line edition Quattro S-Tronic 225 (9.75);2012-2015;1984;4;G;166;13,26;225;37000
A4 AVANT 2.0 TFSI g-tron Aut. 170;2018-;1984;4;S;125;13,26;170;36300
A4 AVANT 2.0 TFSI ultra S tronic 190;2015-;1984;4;G;140;13,26;190;32900
A4 AVANT 2.0 TFSI ultra S tronic 190 (0.00);2015-;1984;4;G;140;13,26;190;31800
A4 AVANT 2.0 TFSI ultra Advanced ed. S tronic 190;2015-;1984;4;G;140;13,26;190;33600
A4 AVANT 2.0 TFSI ultra Advanced ed. S tronic 190 (4.75);2015-;1984;4;G;140;13,26;190;35000
A4 AVANT 2.0 TFSI ultra Black line edition S tronic 190;2015-;1984;4;G;140;13,26;190;38100
A4 AVANT 2.0 TFSI ultra Design ed./Sport ed. S tronic 190;2015-;1984;4;G;140;13,26;190;36700
A4 AVANT 2.0 TFSI ultra S line edition S tronic 190;2015-;1984;4;G;140;13,26;190;38100
A4 AVANT 2.0 TFSI Quattro S tronic 252;2015-;1984;4;G;185;13,26;252;39000
A4 AVANT 2.0 TFSI Advanced ed. Quattro S tronic 252;2015-;1984;4;G;185;13,26;252;41400
A4 AVANT 2.0 TFSI Black line edition Quattro S tronic 252;2015-;1984;4;G;185;13,26;252;44500
A4 AVANT 2.0 TFSI Design ed./Sport ed. Quattro S tronic 252;2015-;1984;4;G;185;13,26;252;43100
A4 AVANT 2.0 TFSI S line edition Quattro S tronic 252;2015-;1984;4;G;185;13,26;252;43800
A4 AVANT 2.0 35 TDI Advanced S tronic 7 vel.;2018-;1968;4;D;110;13,19;150;36400
A4 AVANT 2.0 35 TDI Black line S tronic 7 vel.;2018-;1968;4;D;110;13,19;150;39100
A4 AVANT 2.0 35 TDI S line S tronic 7 vel.;2018-;1968;4;D;110;13,19;150;38000
A4 AVANT 2.0 35 TFSI Advanced 6 vel.;2018-;1984;4;G;110;13,26;150;31400
A4 AVANT 2.0 35 TFSI Black line 6 vel.;2018-;1984;4;G;110;13,26;150;34400
A4 AVANT 2.0 35 TFSI S line 6 vel.;2018-;1984;4;G;110;13,26;150;31400
A4 AVANT 2.0 40 TDI Advanced quattro-ultra S tronic 7 vel.;2018-;1968;4;D;140;13,19;190;43100
A4 AVANT 2.0 40 TDI Advanced S tronic 7 vel.;2018-;1968;4;D;140;13,19;190;39200
A4 AVANT 2.0 40 TDI Black line quattro-ultra S tronic 7 vel.;2018-;1968;4;D;140;13,19;190;46300
A4 AVANT 2.0 40 TDI Black line S tronic 7 vel.;2018-;1968;4;D;140;13,19;190;44000
