Modelo-Tipo;Período comercial;cilindrada;cilindros;combustible;potencia Kwh;CVF;potencia CV;precio medio 2020
A5 Cabrio 2.0 TFSI S line edition Multitronic 225;2011-2016;1984;4;G;166;13,26;225;43800
A5 Cabrio 2.0 TFSI S line edition Quattro S-Tronic 225;2011-2016;1984;4;G;166;13,26;225;45600
A5 Cabrio 2.0 TFSI S line edition Quattro S-Tronic 225 (9.75);2011-2016;1984;4;G;166;13,26;225;48100
A5 Cabrio 2.0 TFSI 230;2011-2016;1984;4;G;169;13,26;230;40000
A5 Cabrio 2.0 TFSI Advanced Edition 230;2011-2016;1984;4;G;169;13,26;230;42200
A5 Cabrio 2.0 TFSI Advanced Edition Multitronic 230;2011-2016;1984;4;G;169;13,26;230;44400
A5 Cabrio 2.0 TFSI Advanced Edition Quattro S-Tronic 230;2011-2016;1984;4;G;169;13,26;230;48100
A5 Cabrio 2.0 TFSI Multitronic 230;2011-2016;1984;4;G;169;13,26;230;42000
A5 Cabrio 2.0 TFSI Quattro S-Tronic 230;2011-2016;1984;4;G;169;13,26;230;45600
A5 Cabrio 2.0 TFSI S line edition 230;2011-2016;1984;4;G;169;13,26;230;42200
A5 Cabrio 2.0 TFSI S line Edition Multitronic 230;2011-2016;1984;4;G;169;13,26;230;44400
A5 Cabrio 2.0 TFSI S line Edition Quattro S-Tronic 230;2011-2016;1984;4;G;169;13,26;230;48100
A5 Cabrio 2.0 TFSI 190;2018-;1984;4;G;140;13,26;190;39500
A5 Cabrio 2.0 TFSI Aut. 190;2018-;1984;4;G;140;13,26;190;41700
A5 Cabrio 2.0 TFSI Quattro Aut. 252;2017-;1984;4;G;185;13,26;252;47000
