Fecha,Modelo,Version,Precio,Kilometraje,Año,Potencia,Cambio,Combustible,Ciudad
31/05/2020,Audi A3,2.0 FSI Ambition,5500,138.000,10/2003,110 kW (150 CV),Manual,Gasolina,08780 Pallejá
31/05/2020,Audi A3,1.9TDI Ambition DPF S-Tronic,5500,202.000,02/2008,77 kW (105 CV),Automático,Diésel,21540 Villanueva de los Castillejos (Huelva)
31/05/2020,Audi A3,Sportback 2.0TDI Ambiente,5500,206.000,09/2008,103 kW (140 CV),Manual,Diésel,08028 Barcelona
31/05/2020,Audi A3,Sportback 1.9TDI Ambition,5600,266.000,04/2006,77 kW (105 CV),Manual,Diésel,29740 Torre del Mar
31/05/2020,Audi A3,Sportback 2.0TDI Attraction,5700,157.200,04/2007,103 kW (140 CV),Manual,Diésel,02005 Albacete
31/05/2020,Audi A3,Sportback 2.0TDI Attraction S-T,5779,207.000,01/2006,103 kW (140 CV),Automático,Diésel,28941 fuelabrada
31/05/2020,Audi A3,1.4 TFSI Ambiente S-Tronic,5800,135.000,10/2008,92 kW (125 CV),Automático,Gasolina,30157 Murcia
31/05/2020,Audi A3,1.4 TFSI Ambiente S-Tronic,5800,134.500,08/2008,92 kW (125 CV),Automático,Gasolina,30157 Murcia
31/05/2020,Audi A3,Sportback 2.0TDI Ambiente quattro,5800,176.000,03/2006,103 kW (140 CV),Manual,Diésel,46006 valencia
31/05/2020,Audi A3,Sportback 2.0TDI Ambition,5800,189.000,04/2005,103 kW (140 CV),Manual,Diésel,08130 Barcelona
31/05/2020,Audi A3,1.9 TDI Sportback DPF Ambition,5800,192.500,02/2008,77 kW (105 CV),Manual,Diésel,29630 Benalmadena
31/05/2020,Audi A3,1.6 FSI Ambition,5800,99.000,12/2006,84 kW (114 CV),Manual,Gasolina,"08758 Cervelló, Barcelona"
31/05/2020,Audi A3,2.0 TDI Sportback DPF Ambition,5850,206.000,08/2007,103 kW (140 CV),Manual,Diésel,29630 Benalmadena
31/05/2020,Audi A3,1.6TDI Attraction,5900,182.000,01/2010,77 kW (105 CV),Manual,Diésel,28850 Madrid
31/05/2020,Audi A3,Sportback 1.6 FSI Ambition,5900,118.000,01/2005,84 kW (114 CV),Manual,Gasolina,08020 BARCELONA
31/05/2020,Audi A3,Sportback 2.0TDI Ambition,5900,210.500,10/2006,103 kW (140 CV),Manual,Diésel,28024 Madrid
31/05/2020,Audi A3,Sportback 2.0TDI Ambiente DPF,5900,200.000,01/2010,103 kW (140 CV),Manual,Diésel,43340 Montbrio del Camp
31/05/2020,Audi A3,Sportback 2.0TDI Ambition DPF,5950,195.800,09/2006,103 kW (140 CV),Automático,Diésel,28806 Madrid
31/05/2020,Audi A3,2.0TDI Ambiente,5950,200.000,12/2005,103 kW (140 CV),Manual,Diésel,18194 granada
31/05/2020,Audi A3,Sportback 2.0TDI Ambiente S-Tronic,5999,229.000,11/2007,103 kW (140 CV),Automático,Diésel,08551 Tona
31/05/2020,Audi A3,2.0TDI Ambition,6000,260.000,01/2005,103 kW (140 CV),Manual,Diésel,45210 toledo
31/05/2020,Audi A3,1.9TDI Ambiente,6000,200.000,07/2006,77 kW (105 CV),Manual,Diésel,04738 vicar
31/05/2020,Audi A3,Sportback 1.4 TFSI Ambition,6000,230.000,02/2009,92 kW (125 CV),Manual,Gasolina,08720 VILAFRANCA DEL PENEDES
31/05/2020,Audi A3,2.0TDI Ambiente 170 DPF,6000,215.000,10/2006,125 kW (170 CV),Manual,Diésel,10890 Valverde Del Fresno
31/05/2020,Audi A3,2.0TDI Ambition,6000,257.000,01/2006,103 kW (140 CV),Manual,Diésel,12580 Benicarló
31/05/2020,Audi A3,Sportback 2.0TDI Ambiente 170,6000,230.000,08/2007,125 kW (170 CV),Manual,Diésel,21800 Moguer
31/05/2020,Audi A3,2.0TDI Ambiente,6100,225.435,10/2006,103 kW (140 CV),Manual,Diésel,46410 sueca
31/05/2020,Audi A3,2.0TDI Limited Edition 170 DPF,6200,308.000,06/2008,125 kW (170 CV),Manual,Diésel,36860 Puenteareas
31/05/2020,Audi A3,1.9TDI Ambiente,6200,300.000,11/2008,77 kW (105 CV),Manual,Diésel,24010 Leon
31/05/2020,Audi A3,n/a,6300,239.000,09/2011,77 kW (105 CV),Manual,Diésel,17527 LLIVIA
31/05/2020,Audi A3,1.6TDI Attraction,6400,182.500,03/2010,77 kW (105 CV),Manual,Diésel,43110 Tarragona
31/05/2020,Audi A3,Sportback 2.0 FSI Ambiente,6400,68.000,04/2005,110 kW (150 CV),Manual,Gasolina,08006 Barcelona
31/05/2020,Audi A3,Sportback 1.6TDI Attraction,6500,170.000,03/2010,77 kW (105 CV),Manual,Diésel,43007 TARRAGONA
31/05/2020,Audi A3,2.0 FSI Ambition,6500,125.000,07/2006,110 kW (150 CV),Manual,Gasolina,24300 Bembibre
31/05/2020,Audi A3,Sportback 1.6 FSI Ambition,6500,150.000,04/2007,84 kW (114 CV),Manual,Gasolina,28044 Madrid
31/05/2020,Audi A3,Sportback 2.0TDI Ambiente DPF,6500,208.000,03/2010,103 kW (140 CV),Manual,Diésel,03690 San Vicente del Raspeig
31/05/2020,Audi A3,2.0TDI S line edition,6500,320.000,06/2008,103 kW (140 CV),Manual,Diésel,40195 Segovia
31/05/2020,Audi A3,Sportback 1.9TDI Ambiente,6500,155.000,10/2007,77 kW (105 CV),Manual,Diésel,08130 santa Perpètua de Mogoda
31/05/2020,Audi A3,2.0 TDI S-line DPF,6500,203.000,06/2008,103 kW (140 CV),Manual,Diésel,08400 Granollers
31/05/2020,Audi A3,2.0 FSI Ambition,6500,64.000,12/2004,110 kW (150 CV),Manual,Gasolina,08009 Barcelona
31/05/2020,Audi A3,1.4 TFSI Limited Edition,6700,190.000,12/2007,92 kW (125 CV),Manual,Gasolina,28223 Pozuelo de Alarcón
31/05/2020,Audi A3,2.0TDI Attraction DSG,6800,225.000,12/2005,103 kW (140 CV),Automático,Diésel,46004 Valencia
31/05/2020,Audi A3,Sportback 2.0TDI S line edition,6900,231.000,03/2008,103 kW (140 CV),Automático,Diésel,12580 Benicarlo
31/05/2020,Audi A3,2.0TDI Ambition 170 DPF,6950,138.000,12/2007,125 kW (170 CV),Manual,Diésel,08031 Barcelona
31/05/2020,Audi A3,Sportback 2.0TDI Limited Edition 170,6999,150.000,12/2007,125 kW (170 CV),Manual,Diésel,08904 barcelona
31/05/2020,Audi A3,Sportback 2.0 TFSI Ambition quattro,7000,227.500,04/2006,147 kW (200 CV),Manual,Gasolina,28037 Madrid
31/05/2020,Audi A3,3.2 V6 Ambition quattro DSG,7000,250.000,03/2004,184 kW (250 CV),Automático,Gasolina,11670 el bosque
31/05/2020,Audi A3,2.0TDI Ambiente 170 DPF,7000,233.059,04/2007,125 kW (170 CV),Manual,Diésel,24000 león
31/05/2020,Audi A3,2.0TDI Ambition DPF,7799,255.000,02/2009,103 kW (140 CV),Manual,Diésel,27004 Lugo
31/05/2020,Audi A3,Sportback 2.0TDI Ambiente,7800,152.000,12/2008,103 kW (140 CV),Manual,Diésel,08100 Barcelona
31/05/2020,Audi A3,Sportback 2.0 TFSI Attraction Quattro,7800,210.000,05/2006,147 kW (200 CV),Manual,Gasolina,21006 huelva
31/05/2020,Audi A3,Sportback 1.8 TFSI Ambiente S-Tronic,7999,190.000,06/2009,118 kW (160 CV),Automático,Gasolina,17200 Palafrugell
31/05/2020,Audi A3,Sportback 2.0TDI Ambiente DPF,8000,185.000,10/2008,103 kW (140 CV),Manual,Diésel,45210 Yuncos
31/05/2020,Audi A3,Sportback 2.0TDI Ambition DPF,8000,179.000,06/2009,103 kW (140 CV),Manual,Diésel,43206 Reus
31/05/2020,Audi A3,2.0TDI Ambition,8000,185.000,01/2008,103 kW (140 CV),Manual,Diésel,28020 Madrid
31/05/2020,Audi A3,1.6TDI Attraction,8000,100.000,06/2012,77 kW (105 CV),Manual,Diésel,46001 Valencia
31/05/2020,Audi A3,Sportback 2.0TDI Ambition S-T 170,8000,260.000,12/2006,125 kW (170 CV),Automático,Diésel,28120 Algete
31/05/2020,Audi A3,Sportback 2.0TDI Ambiente DPF,8200,260.000,01/2008,103 kW (140 CV),Manual,Diésel,44300 monreal del campo
31/05/2020,Audi A3,Sportback 1.6TDI Attraction,8200,280.000,05/2010,77 kW (105 CV),Manual,Diésel,28044 Madrid
31/05/2020,Audi A3,Sportback 2.0TDI Ambiente DPF,8200,198.000,11/2009,103 kW (140 CV),Manual,Diésel,43881 Tarragona
31/05/2020,Audi A3,1.6TDI Ambiente,8300,120.000,04/2010,77 kW (105 CV),Manual,Diésel,15003 La Coruña
31/05/2020,Audi A3,Cabrio 1.9TDI,8375,189.000,05/2008,77 kW (105 CV),Manual,Diésel,28922 Madrid
31/05/2020,Audi A3,Sportback 2.0TDI S line edition,8490,132.500,08/2008,103 kW (140 CV),Manual,Diésel,23200 La Carolina
31/05/2020,Audi A3,1.6TDI Genuine Edition,8500,134.000,06/2011,77 kW (105 CV),Manual,Diésel,41005 Sevilla
31/05/2020,Audi A3,Sportback 1.6TDI Ambiente,8500,180.000,12/2010,77 kW (105 CV),Manual,Diésel,30149 Murcia
31/05/2020,Audi A3,Sportback 2.0 TFSI Ambition Q. S-T,8850,133.450,10/2008,147 kW (200 CV),Automático,Gasolina,08020 Barcelona
31/05/2020,Audi A3,Sportback 2.0TDI Ambition,8900,135.000,07/2010,103 kW (140 CV),Manual,Diésel,36201 Vigo
31/05/2020,Audi A3,Sportback 1.6TDI Ambiente,8900,87.500,10/2011,77 kW (105 CV),Manual,Diésel,17520 Puigcerda
31/05/2020,Audi A3,2.0TDI Attraction quattro,8900,210.000,01/2011,103 kW (140 CV),Manual,Diésel,28330 madrid
31/05/2020,Audi A3,2.0TDI Ambition DPF,8900,156.000,03/2010,103 kW (140 CV),Manual,Diésel,08349 Cabrera de Mar
31/05/2020,Audi A3,1.6TDI Ambiente,8900,112.000,04/2011,77 kW (105 CV),Manual,Diésel,46014 VALENCIA
31/05/2020,Audi A3,2.0TDI (140CV) S-Line,8999,167.000,06/2010,103 kW (140 CV),Manual,Diésel,28001 Madrid
31/05/2020,Audi A3,2.0TDI Ambition quattro 170 DPF,8999,199.999,05/2010,125 kW (170 CV),Manual,Diésel,01010 Vitoria-Gasteiz
31/05/2020,Audi A3,Sportback 2.0TDI Ambiente S-Tronic,9000,169.000,08/2011,103 kW (140 CV),Automático,Diésel,03801 Alcoy
31/05/2020,Audi A3,2.0 TFSI Ambition quattro S-Tronic,9000,172.500,10/2009,147 kW (200 CV),Automático,Gasolina,25530 Vielha
