Fecha,Modelo,Version,Precio,Kilometraje,Año,Potencia,Cambio,Combustible,Ciudad
31/05/2020,Audi A3,n/a,2800,310.000,06/2008,103 kW (140 CV),Manual,Diésel,48012 Bilbao
31/05/2020,Audi A3,n/a,2800,267.593,06/2005,77 kW (105 CV),Manual,Diésel,41006 Sevilla
31/05/2020,Audi A3,1.9TDI Ambition 130,2899,270.000,10/2002,96 kW (131 CV),Manual,Diésel,28320 Pinto
31/05/2020,Audi A3,1.8 Ambiente,2900,185.000,12/1998,92 kW (125 CV),Manual,Gasolina,08105 Sant Fost de Campsentelles
31/05/2020,Audi A3,2.0TDI Ambition,2900,203.998,07/2006,103 kW (140 CV),Manual,Diésel,18320 Santa Fe
31/05/2020,Audi A3,1.6 FSI Ambition,2900,220.000,04/2004,84 kW (114 CV),Manual,Gasolina,28055 28915
31/05/2020,Audi A3,1.8 Ambiente,2900,117.000,06/1999,92 kW (125 CV),Manual,Gasolina,08006 Barcelona
31/05/2020,Audi A3,n/a,2990,225.000,06/2004,103 kW (140 CV),Manual,Diésel,26005 Logroño
31/05/2020,Audi A3,1.9 tdi 130cv 6 velocidades,2990,189.000,07/2003,96 kW (131 CV),Manual,Diésel,08010 BARCELONA
31/05/2020,Audi A3,1.6 FSI Attraction,2999,209.500,05/2004,84 kW (114 CV),Manual,Gasolina,13260 Bolaños de Calatrava
31/05/2020,Audi A3,2.0TDI Ambition,3000,274.000,07/2005,103 kW (140 CV),Manual,Diésel,45313 yepes
31/05/2020,Audi A3,n/a,3000,200.000,07/2005,103 kW (140 CV),Automático,Diésel,28021 Barcelona
31/05/2020,Audi A3,n/a,3000,166.000,06/2004,105 kW (143 CV),Automático,Diésel,41011 Sevilla
31/05/2020,Audi A3,n/a,3000,219.000,08/2006,105 kW (143 CV),Manual,Diésel,30570 Barcelona
31/05/2020,Audi A3,1.8 Ambiente,3000,122.696,03/1998,92 kW (125 CV),Manual,Gasolina,08950 barcelona
31/05/2020,Audi A3,1.9TDI Ambition 130,3000,266.000,02/2003,96 kW (131 CV),Manual,Diésel,28300 Aranjuez
31/05/2020,Audi A3,1.9 TDI,3000,151.000,10/2003,74 kW (101 CV),Manual,Diésel,15300 Betanzos
31/05/2020,Audi A3,1.8 Attraction,3000,110.000,01/2002,92 kW (125 CV),Manual,Gasolina,28039 Madrid
31/05/2020,Audi A3,1.6 Ambiente,3100,211.000,01/2005,75 kW (102 CV),Manual,Gasolina,28037 Madrid
31/05/2020,Audi A3,n/a,3200,380.000,06/2004,103 kW (140 CV),Automático,Diésel,08001 Barcelona
31/05/2020,Audi A3,n/a,3200,173.500,08/2006,100 kW (136 CV),Automático,Diésel,08020 Barcelona
31/05/2020,Audi A3,1.9TDI Ambition 130,3200,197.000,01/2001,96 kW (131 CV),Manual,Diésel,29004 Málaga
31/05/2020,Audi A3,n/a,3290,156.000,08/2006,77 kW (105 CV),Manual,Diésel,28002 Barcelona
31/05/2020,Audi A3,n/a,3300,217.000,05/2007,77 kW (105 CV),Manual,Diésel,29016 Málaga
31/05/2020,Audi A3,n/a,3300,231.500,07/2010,77 kW (105 CV),Manual,Diésel,41008 Sevilla
31/05/2020,Audi A3,2.0 FSI Ambition,3350,184.000,12/2003,110 kW (150 CV),Manual,Gasolina,28100 Madrid
31/05/2020,Audi A3,Sportback 2.0TDI Ambiente,3400,158.000,08/2006,103 kW (140 CV),Manual,Diésel,31600 Burlada
31/05/2020,Audi A3,n/a,3400,200.000,07/2005,103 kW (140 CV),Manual,Diésel,41701 Dos Hermanas
31/05/2020,Audi A3,2.0TDI Ambition,3490,310.000,12/2005,103 kW (140 CV),Manual,Diésel,08720 La Vila
31/05/2020,Audi A3,1.8 Ambition,3500,75.000,04/1998,92 kW (125 CV),Manual,Gasolina,08012 Barcelona
31/05/2020,Audi A3,n/a,3500,190.000,08/2006,103 kW (140 CV),Automático,Diésel,06007 Badajoz
31/05/2020,Audi A3,n/a,3500,228.000,07/2005,103 kW (140 CV),Manual,Diésel,41003 Sevilla
31/05/2020,Audi A3,n/a,3500,290.000,08/2006,103 kW (140 CV),Manual,Diésel,01003 Vitoria-Gasteiz
31/05/2020,Audi A3,n/a,3500,220.000,07/2006,103 kW (140 CV),Manual,Diésel,23640 Torre del Campo
31/05/2020,Audi A3,2.0TDI Ambition,3500,291.000,05/2003,103 kW (140 CV),Manual,Diésel,28038 Madrid
31/05/2020,Audi A3,1.9TDI Attraction,3500,270.000,12/2003,77 kW (105 CV),Manual,Diésel,12001 castellon
31/05/2020,Audi A3,Sportback 2.0 FSI Ambition,3500,202.000,06/2005,110 kW (150 CV),Manual,Gasolina,50002 Zaragoza
31/05/2020,Audi A3,1.9TDI Ambiente quattro 130,3500,297.000,03/2003,96 kW (131 CV),Manual,Diésel,25599 Arties
31/05/2020,Audi A3,1.9TDI Ambition,3500,289.000,11/2004,77 kW (105 CV),Manual,Diésel,17310 Lloret de Mar
31/05/2020,Audi A3,n/a,3550,275.000,08/2006,103 kW (140 CV),Manual,Diésel,28009 València
31/05/2020,Audi A3,Sportback 2.0 FSI Ambiente S-Tronic,3600,250.000,10/2005,110 kW (150 CV),Automático,Gasolina,03007 Alicante
31/05/2020,Audi A3,1.6 FSI Ambition,3700,200.000,03/2004,84 kW (114 CV),Manual,Gasolina,08328 Alella
31/05/2020,Audi A3,n/a,3760,300.000,08/2010,77 kW (105 CV),Manual,Diésel,20850 Mendaro
31/05/2020,Audi A3,n/a,3800,180.000,05/2006,110 kW (150 CV),Manual,Gasolina,48143 Areaza
31/05/2020,Audi A3,n/a,3800,270.000,05/2007,77 kW (105 CV),Manual,Diésel,03440 Ibi
31/05/2020,Audi A3,2.0TDI Ambiente,3800,186.400,11/2007,103 kW (140 CV),Manual,Diésel,17002 Gerona
31/05/2020,Audi A3,1.9TDI Ambition,3800,160.000,10/2004,77 kW (105 CV),Manual,Diésel,08907 Hospitalet de Llobregat
31/05/2020,Audi A3,2.0TDI Ambiente,3900,265.000,06/2004,103 kW (140 CV),Manual,Diésel,10450 jarandilla
31/05/2020,Audi A3,1.9TDI Ambition,3900,114.000,04/2004,77 kW (105 CV),Manual,Diésel,28043 Madrid
31/05/2020,Audi A3,2.0TDI Ambition,3950,227.000,12/2004,103 kW (140 CV),Manual,Diésel,08349 Cabrera de Mar
31/05/2020,Audi A3,2.0 FSI Ambition,3950,178.000,03/2004,110 kW (150 CV),Manual,Gasolina,08840 Viladecans
31/05/2020,Audi A3,2.0TDI Ambition,3990,205.000,10/2005,103 kW (140 CV),Manual,Diésel,37004 Salamanca
31/05/2020,Audi A3,n/a,3990,268.750,07/2004,105 kW (143 CV),Manual,Diésel,28011 Andalusia
31/05/2020,Audi A3,1.6 Ambiente,3990,198.000,11/2003,75 kW (102 CV),Manual,Gasolina,24010 León
31/05/2020,Audi A3,"""S3"" Look TDI Quattro",3999,240.000,07/2001,96 kW (131 CV),Manual,Diésel,31001 Pamplona
31/05/2020,Audi A3,1.9TDI Ambiente,4000,239.000,04/2007,77 kW (105 CV),Manual,Diésel,03450 Alcoy
31/05/2020,Audi A3,n/a,4000,128.000,07/2006,103 kW (140 CV),Automático,Diésel,20600 Éibar
